19.8172 41.3317 Tirana
1.5218 42.5075 AndorraLaVella
16.3728 48.2092 Vienna
27.5766 53.9678 Minsk
4.3676 50.8371 Brussels
18.4214 43.8608 Sarajevo
23.3238 42.7105 Sofia
15.9785 45.8150 Zagreb
33.1 35.2 Nicosia
14.4205 50.0878 Prague
12.5681 55.6763 Copenhagen
24.7545 59.4389 Tallinn
24.9384 60.1699 Helsinki
2.3510 48.8567 Paris
13.4115 52.5235 Berlin
23.7166 37.9792 Athens
19.0408 47.4984 Budapest
-21.8952 64.1353 Reykjavik
-6.2675 53.3441 Dublin
12.4823 41.8955 Rome
24.1049 56.9465 Riga
9.5215 47.1411 Vaduz
25.2799 54.6896 Vilnius
6.1296 49.6100 Luxembourg
21.4361 42.0024 Skopje
14.5189 35.9042 Valletta
28.8497 47.0167 Chisinau
7.4189 43.7325 Monaco
19.2595 42.4602 Podgorica
4.8910 52.3738 Amsterdam
10.7387 59.9138 Oslo
21.0122 52.2297 Warsaw
-9.1355 38.7072 Lisbon
26.0979 44.4479 Bucharest
37.6176 55.7558 Moscow
12.4578 43.9424 SanMarino
20.4781 44.8048 Belgrade
17.1547 48.2116 Bratislava
14.5060 46.0514 Ljubljana
-3.7033 40.4167 Madrid
18.0645 59.3328 Stockholm
7.4481 46.9480 Bern
30.5367 50.4422 Kiev
-0.1262 51.5002 London
